ValueForWindCharacter,count
 ,3728936
21,36085
22,35518
20,35073
23,34790
18,34003
24,32029
17,30243
25,30170
26,26540
28,23276
16,22995
29,20291
30,17272
31,14695
32,12612
33,10657
34,8996
36,7029
37,5837
38,4748
39,3826
40,3217
41,2609
43,2081
44,1741
45,1412
46,1143
47,905
48,663
49,502
51,462
52,363
53,288
54,236
11,202
55,189
13,182
14,166
56,161
15,140
58,128
59,92
60,78
61,65
63,40
62,38
64,33
66,26
68,18
67,17
70,17
71,12
69,8
75,7
76,6
78,6
74,5
73,5
81,4
77,4
79,3
91,2
101,2
103,2
84,2
97,1
176,1
115,1
85,1
88,1
112,1
114,1
123,1
129,1
